CONSECUTIVO,ID_ENCUESTA,CE_ACCESSIBILITY,CE_CSAT,CE_VALUEFORMONEY,EM_IMMEDIATEATTENTION,EM_NURSING,EM_DOCTOR,EM_OVERALL,AD_TIME,AD_TARRIFFPACKAGESEXPLAINATION,AD_STAFFATTITUDE,INR_ROOMCLEANLINESS,INR_ROOMPEACE,INR_ROOMEQUIPMENT,INR_ROOMAMBIENCE,FNB_FOODQUALITY,FNB_FOODDELIVERYTIME,FNB_DIETICIAN,FNB_STAFFATTITUDE,AE_ATTENDEECARE,AE_PATIENTSTATUSINFO,AE_ATTENDEEFOOD,DOC_TREATMENTEXPLAINATION,DOC_ATTITUDE,DOC_VISITS,DOC_TREATMENTEFFECTIVENESS,NS_CALLBELLRESPONSE,NS_NURSESATTITUDE,NS_NURSEPROACTIVENESS,NS_NURSEPATIENCE,OVS_OVERALLSTAFFATTITUDE,OVS_OVERALLSTAFFPROMPTNESS,OVS_SECURITYATTITUDE,DP_DISCHARGETIME,DP_DISCHARGEQUERIES,DP_DISCHARGEPROCESS,DIASINTERNADO,SCORENPS,NPS
16,19712,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,6,10,Promotor
17,77663,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,2,3,3,3,2,3,3,3,3,3,4,3,3,3,3,2,7,Passive
18,25062,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,2,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,10,Promotor
19,25063,4,3,3,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,9,Promotor
20,74014,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,9,Promotor
21,73466,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,10,Promotor
22,6796,4,3,2,3,4,4,4,2,3,3,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,3,3,3,4,3,4,2,3,4,3,7,5,Detractor
23,6794,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,10,Promotor
24,6795,4,3,3,4,4,4,4,4,3,4,4,3,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,3,2,5,9,Promotor
25,6792,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,Promotor
26,6793,3,4,3,4,4,4,4,2,2,2,3,3,3,3,1,3,2,3,3,3,1,4,3,3,4,4,4,4,4,4,4,2,3,4,3,6,10,Promotor
27,6791,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,10,Promotor
28,82999,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,9,Promotor
29,56121,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,10,Promotor
30,57290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,9,Promotor
31,57294,3,3,3,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,9,Promotor
32,57299,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,9,Promotor
33,25283,3,2,2,4,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,3,4,3,3,3,1,5,Detractor
34,32010,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,9,Promotor
35,16255,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,9,Promotor
36,88025,3,4,4,4,4,4,4,3,3,4,3,3,2,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,10,Promotor
37,12014,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,0,9,Promotor
38,12017,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,10,Promotor
39,12011,4,3,3,3,3,3,3,1,2,2,4,4,4,4,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,7,Passive
40,12012,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,3,4,3,4,3,3,3,3,4,3,3,3,7,10,Promotor
41,17251,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,10,Promotor
42,17257,3,3,3,4,4,4,4,4,3,4,3,4,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,7,Passive
43,9259,3,3,3,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,4,4,4,4,4,2,9,Promotor
44,9520,4,3,3,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,8,Passive
45,21618,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,9,Promotor
46,21615,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,9,Promotor
47,46799,3,4,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,9,Promotor
48,21611,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,2,8,Passive
49,65508,3,2,2,2,3,2,3,2,3,3,2,3,3,3,3,3,2,3,3,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,8,Passive
50,21613,4,3,3,4,4,4,4,4,3,4,3,2,3,3,3,4,4,4,3,3,2,3,4,4,4,4,4,3,3,4,4,4,3,4,4,4,8,Passive
51,43260,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,55,6,Detractor
52,26128,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,9,Promotor
53,64908,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,9,Promotor
54,87999,4,4,3,4,4,4,4,2,2,2,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,9,Promotor
55,49308,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,10,Promotor
56,88094,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,Promotor
57,49301,4,4,4,4,4,4,4,2,3,2,3,3,2,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,10,Promotor
58,37795,3,4,3,4,4,4,4,3,3,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,8,Passive
59,49305,4,3,3,4,4,4,4,3,3,4,3,3,3,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,Promotor
60,58072,4,4,3,4,4,4,4,4,4,4,4,4,4,3,2,2,4,4,4,4,2,4,4,4,3,3,4,4,4,4,4,3,2,3,3,6,9,Promotor
61,68174,4,3,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,Promotor
62,36847,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,2,10,Promotor
63,62884,4,3,3,4,3,4,3,1,2,1,3,3,3,3,2,1,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,4,9,Promotor
64,68282,4,3,3,4,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,8,Passive
65,38641,4,4,3,4,4,4,3,4,3,3,1,4,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,10,Promotor
66,58212,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,Promotor
67,30413,2,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,1,2,Detractor
68,85864,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,10,Promotor
69,70484,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,Promotor
70,49249,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,9,Promotor
71,54170,3,3,3,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,8,Passive
72,54173,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,7,Passive
73,89969,4,3,3,3,3,3,3,2,3,3,2,2,3,2,3,3,2,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,2,3,2,2,8,Passive
74,33858,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,Detractor
75,21315,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,9,Promotor
76,62085,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,9,Promotor
77,17821,3,2,3,4,3,3,3,4,2,2,2,1,2,2,2,2,2,1,2,2,1,2,3,2,2,2,3,2,1,2,1,3,1,1,2,2,5,Detractor
78,27579,3,3,2,3,3,3,4,2,2,3,1,2,2,2,2,2,2,3,3,3,2,3,3,3,3,4,4,3,2,3,2,3,2,2,2,2,7,Passive
79,27577,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,10,Promotor
80,83669,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,4,3,3,3,5,9,Promotor
81,67102,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,3,3,3,4,3,3,4,3,3,3,2,8,Passive
82,67101,3,3,3,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,11,9,Promotor
83,83612,4,4,4,4,4,4,4,3,2,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,7,Passive
84,29760,3,3,3,4,4,4,4,4,3,3,2,3,4,3,3,4,3,4,4,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,1,7,Passive
85,68823,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,8,Passive
86,73646,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,8,Passive
87,59039,4,2,3,4,4,4,4,1,3,3,2,2,3,3,1,3,2,3,3,3,2,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,9,Promotor
88,59035,3,3,3,2,2,1,1,3,3,3,3,3,3,3,1,1,1,1,3,3,1,2,2,1,3,4,4,4,4,4,4,3,3,3,3,5,8,Passive
89,29105,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,9,Promotor
90,77331,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,8,Passive
91,72256,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,9,Promotor
92,8549,4,3,3,4,4,4,4,3,3,3,4,3,4,3,1,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,6,8,Passive
93,15288,3,3,3,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,2,3,3,3,3,3,3,3,3,3,6,9,Promotor
94,88569,3,3,3,4,4,4,4,4,3,4,4,3,4,4,3,3,4,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,8,Passive
95,8017,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,9,Promotor
96,82051,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,10,Promotor
97,15281,4,4,3,4,4,4,4,4,3,4,3,3,3,3,2,4,3,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,8,Passive
98,44935,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,8,Passive
99,74016,3,3,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,8,Passive
100,92267,4,4,4,3,3,4,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,9,Promotor
101,7459,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,7,Passive
102,66505,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,3,3,3,3,2,3,3,4,3,3,3,3,4,4,5,8,Passive
103,54658,4,3,3,3,4,4,4,4,3,4,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,3,2,7,Passive
104,89586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,10,Promotor
105,82223,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,10,Promotor
106,23122,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,10,Promotor
107,50671,4,4,3,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,3,3,4,3,3,10,Promotor
108,77281,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,6,Detractor
109,82996,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,9,Promotor
110,92080,4,4,3,4,4,4,4,3,2,3,2,3,3,3,4,3,3,4,3,3,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,0,9,Promotor
111,96139,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,2,3,3,7,9,Promotor
112,61239,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,8,Passive
113,77756,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,Passive
114,59883,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,9,Promotor
115,86967,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,10,Promotor
116,77028,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,8,Passive
117,77758,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,9,Promotor
118,81508,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,9,Promotor
119,4729,4,3,1,4,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,0,Detractor
120,43467,4,3,3,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,4,4,3,4,3,4,4,3,3,3,3,3,3,3,4,4,4,1,9,Promotor
121,16062,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,17,10,Promotor
122,98107,3,3,3,3,3,3,4,3,3,3,4,4,4,4,2,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,8,Passive
123,98106,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,10,Promotor
124,28703,4,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,28,9,Promotor
125,13539,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,7,Passive
125,13539,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,7,Passive
126,94305,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,9,Promotor
127,11755,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,10,Promotor
128,11752,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,10,Promotor
129,16395,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,10,Promotor
130,16399,3,3,3,4,4,4,4,3,2,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,1,3,3,3,80,9,Promotor
131,63900,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,Promotor
132,25548,4,4,2,4,4,4,4,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,9,Promotor
133,64026,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,10,Promotor
134,11992,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,9,Promotor
135,85421,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,10,Promotor
136,80102,4,3,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,7,9,Promotor
137,85423,3,3,3,4,3,4,4,3,3,3,3,1,3,3,1,2,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,22,10,Promotor
138,36304,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,7,10,Promotor
139,21281,4,4,3,4,4,4,4,4,4,4,3,4,4,4,2,3,3,4,4,4,1,4,4,3,4,3,4,4,4,4,4,4,4,4,4,5,10,Promotor
140,42487,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,10,Promotor
141,42486,4,3,2,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,5,Detractor
142,42335,3,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,8,Passive
143,91739,4,4,3,4,4,4,4,3,3,4,3,4,4,4,3,3,3,4,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,9,Promotor
144,21288,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,10,Promotor
145,34423,3,3,3,3,4,4,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,6,10,Promotor
146,10390,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,9,Promotor
147,10392,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,8,Passive
148,10393,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,9,Promotor
149,10395,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,27,9,Promotor
150,10397,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,9,Promotor
151,7218,3,3,3,2,2,3,3,2,1,2,1,1,2,1,1,1,1,1,1,2,1,3,3,2,3,2,3,2,2,3,3,2,3,3,3,8,5,Detractor
152,16933,2,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,9,Promotor
